DATE,CH,HH,KA,KU,PM,TU,TEMP,BANJIR
10/10/2024,292.20,25.00,3.00,86.00,46.00,922.00,23.20,0.00
11/10/2024,401.40,28.00,3.00,87.00,43.00,921.70,23.30,4.00
12/10/2024,237.50,26.00,3.00,84.00,49.00,919.90,23.00,7.00
1/11/2024,63.00,21.00,3.00,79.00,49.00,920.70,23.00,0.00
2/11/2024,76.70,16.00,3.00,83.00,41.00,921.20,23.50,0.00
3/11/2024,89.40,22.00,3.00,73.00,63.00,921.20,23.50,0.00
4/11/2024,381.50,26.00,3.00,69.00,77.00,922.20,23.40,0.00
5/11/2024,193.40,24.00,3.00,69.00,85.00,922.50,23.60,0.00
6/11/2024,117.60,9.00,3.00,74.00,79.00,922.50,23.30,0.00
7/11/2024,77.20,12.00,3.00,75.00,74.00,922.80,22.80,0.00
8/11/2024,3.10,5.00,3.00,80.00,60.00,923.10,23.00,0.00
9/11/2024,102.80,11.00,3.00,79.00,50.00,923.60,23.40,0.00
10/11/2024,103.60,16.00,3.00,77.00,49.00,922.40,24.10,0.00
11/11/2024,321.40,26.00,5.00,78.00,59.00,921.60,22.90,7.00
12/11/2024,259.00,27.00,4.00,79.00,42.00,921.40,24.00,7.00
1/12/2024,82.90,27.00,3.00,83.00,44.00,921.20,23.40,4.00
2/12/2024,303.70,25.00,3.00,83.00,39.00,921.90,23.50,0.00
3/12/2024,155.50,20.00,3.00,74.00,62.00,922.20,23.70,0.00
4/12/2024,290.80,24.00,3.00,67.00,75.00,923.50,23.50,4.00
5/12/2024,257.10,20.00,3.00,67.00,87.00,922.90,23.20,0.00
6/12/2024,60.50,10.00,3.00,71.00,78.00,923.60,23.30,0.00
7/12/2024,34.20,6.00,3.00,74.00,76.00,923.50,22.60,0.00
8/12/2024,0.00,1.00,3.00,77.00,66.00,924.30,23.20,0.00
9/12/2024,27.00,12.00,3.00,81.00,56.00,924.40,24.00,0.00
10/12/2024,125.00,18.00,4.00,75.00,56.00,923.80,24.20,0.00
11/12/2024,537.00,27.00,3.00,79.00,58.00,923.20,23.30,6.00
12/12/2024,637.00,29.00,4.00,78.00,41.00,922.10,23.30,8.00
1/13/2024,216.90,26.00,3.00,80.00,40.00,923.30,23.40,0.00
2/13/2024,250.00,23.00,4.00,74.00,64.00,922.10,23.40,0.00
3/13/2024,305.00,24.00,3.00,73.00,69.00,923.40,23.80,0.00
4/13/2024,286.00,26.00,3.00,70.00,77.00,922.70,23.70,0.00
5/13/2024,171.00,23.00,3.00,71.00,79.00,922.90,23.50,0.00
6/13/2024,231.50,16.00,3.00,77.00,58.00,922.10,23.60,0.00
7/13/2024,159.00,16.00,3.00,78.00,61.00,923.20,22.50,0.00
8/13/2024,74.00,9.00,3.00,82.00,53.00,923.90,23.20,0.00
9/13/2024,172.00,10.00,3.00,82.00,52.00,923.80,23.70,0.00
10/13/2024,234.00,21.00,4.00,79.00,58.00,924.50,23.80,0.00
11/13/2024,164.00,19.00,4.00,80.00,52.00,922.50,23.80,0.00
12/13/2024,418.00,27.00,4.00,79.00,49.00,922.50,23.10,0.00
1/14/2024,309.00,27.00,4.00,80.00,43.00,923.90,22.50,0.00
2/14/2024,88.90,17.00,3.00,79.00,46.00,922.90,22.90,0.00
3/14/2024,418.70,25.00,4.00,67.00,64.00,923.70,23.30,1.00
4/14/2024,217.60,22.00,4.00,64.00,87.00,923.60,23.70,0.00
5/14/2024,176.70,23.00,3.00,73.00,77.00,923.60,23.50,1.00
6/14/2024,195.50,20.00,3.00,77.00,66.00,923.10,23.50,0.00
7/14/2024,180.60,15.00,3.00,80.00,57.00,924.10,23.00,0.00
8/14/2024,119.80,12.00,3.00,81.00,58.00,924.40,23.10,0.00
9/14/2024,0.60,3.00,3.00,81.00,64.00,924.80,23.70,0.00
10/14/2024,65.00,11.00,3.00,82.00,52.00,924.20,24.20,0.00
11/14/2024,296.50,26.00,4.00,80.00,47.00,923.70,23.60,0.00
12/14/2024,316.40,25.00,4.00,82.00,63.00,922.90,23.70,2.00
1/15/2024,188.00,22.00,4.00,82.00,48.00,924.00,23.20,0.00
2/15/2024,189.10,20.00,4.00,79.00,53.00,923.80,23.10,2.00
3/15/2024,318.60,28.00,4.00,63.00,80.00,924.10,23.40,0.00
4/15/2024,285.20,25.00,4.00,64.00,86.00,923.20,23.60,2.00
5/15/2024,322.40,23.00,4.00,66.00,87.00,924.10,23.40,0.00
6/15/2024,58.80,26.00,4.00,70.00,85.00,923.90,23.10,0.00
7/15/2024,0.30,5.00,4.00,74.00,81.00,924.50,23.10,0.00
8/15/2024,6.90,4.00,4.00,77.00,66.00,924.40,23.60,0.00
9/15/2024,43.20,4.00,4.00,81.00,49.00,924.80,23.80,0.00
10/15/2024,37.90,5.00,5.00,79.00,60.00,925.10,24.50,0.00
11/15/2024,455.00,24.00,5.00,80.00,55.00,923.40,23.90,2.00
12/15/2024,311.50,23.00,4.00,79.00,54.00,924.10,23.70,2.00
1/16/2024,188.00,23.00,6.00,76.00,51.00,924.50,23.80,0.00
2/16/2024,189.10,23.00,4.00,84.00,39.00,924.10,24.00,0.00
3/16/2024,318.60,30.00,4.00,83.00,37.00,924.20,24.10,3.00
4/16/2024,285.20,29.00,4.00,80.00,53.00,923.70,24.00,0.00
5/16/2024,322.40,27.00,4.00,66.00,67.00,923.30,24.00,0.00
6/16/2024,58.80,21.00,4.00,79.00,70.00,924.10,23.70,0.00
7/16/2024,0.30,23.00,4.00,79.00,57.00,923.50,23.30,0.00
8/16/2024,6.90,17.00,4.00,83.00,54.00,922.30,23.60,0.00
9/16/2024,43.20,25.00,4.00,84.00,53.00,923.50,23.60,0.00
10/16/2024,37.90,29.00,4.00,83.00,44.00,923.10,23.10,1.00
11/16/2024,455.00,30.00,5.00,80.00,42.00,923.00,23.40,1.00
12/16/2024,311.50,23.00,4.00,81.00,52.00,922.10,24.40,0.00
1/17/2024,65.30,23.00,6.00,76.00,54.00,922.30,24.20,0.00
2/17/2024,199.30,24.00,5.00,82.00,37.00,923.20,23.00,0.00
3/17/2024,389.30,27.00,4.00,80.00,56.00,923.30,23.30,1.00
4/17/2024,220.20,27.00,4.00,71.00,69.00,923.40,23.60,0.00
5/17/2024,222.30,18.00,5.00,71.00,77.00,923.30,23.90,0.00
6/17/2024,106.40,17.00,5.00,74.00,69.00,923.90,23.40,0.00
7/17/2024,39.10,14.00,4.00,79.00,56.00,924.00,23.40,0.00
8/17/2024,48.40,6.00,4.00,78.00,62.00,923.60,23.30,0.00
9/17/2024,90.80,12.00,4.00,81.00,49.00,923.90,23.70,0.00
10/17/2024,345.30,24.00,5.00,80.00,53.00,922.80,23.40,0.00
11/17/2024,442.20,25.00,5.00,81.00,40.00,921.10,23.10,0.00
12/17/2024,129.90,20.00,5.00,75.00,53.00,922.00,23.90,0.00
1/18/2024,191.00,28.00,6.00,80.20,52.00,921.00,23.30,3.00
2/18/2024,239.30,23.00,6.00,81.30,51.50,922.90,23.60,4.00
3/18/2024,292.00,25.00,7.00,70.70,65.50,922.30,23.60,8.00
4/18/2024,297.60,23.00,9.00,66.10,77.50,922.20,23.80,6.00
5/18/2024,123.90,15.00,7.00,68.60,80.00,922.80,23.70,2.00
6/18/2024,33.40,15.00,7.00,67.20,76.50,923.90,23.70,1.00
7/18/2024,0.30,3.00,7.00,75.60,70.50,923.10,22.90,2.00
8/18/2024,38.90,7.00,7.00,75.80,66.00,923.40,23.30,1.00
9/18/2024,40.80,8.00,9.00,79.50,54.00,923.70,23.70,2.00
10/18/2024,124.80,18.00,9.00,79.70,50.50,923.60,24.20,2.00
11/18/2024,483.20,23.00,11.00,79.00,51.50,923.30,23.70,10.00
12/18/2024,323.50,22.00,11.00,77.40,55.50,922.70,23.70,12.00
1/19/2024,231.60,24.00,3.00,83.00,50.00,923.30,23.70,8.00
2/19/2024,269.10,24.00,3.00,74.00,66.00,924.20,23.80,8.00
3/19/2024,222.70,25.00,5.00,64.00,75.00,923.50,23.60,6.00
4/19/2024,298.90,25.00,5.00,64.00,86.00,922.70,23.90,6.00
5/19/2024,245.70,23.00,4.00,66.00,83.00,923.50,23.90,2.00
6/19/2024,26.50,4.00,4.00,69.00,84.00,923.40,23.30,0.00
7/19/2024,13.40,4.00,5.00,72.00,85.00,923.80,22.70,0.00
8/19/2024,0.20,4.00,5.00,79.00,70.00,924.00,23.00,0.00
9/19/2024,55.00,3.00,4.00,80.00,59.00,925.00,23.80,1.00
10/19/2024,84.20,0.00,5.00,80.00,48.00,923.60,24.90,3.00
11/19/2024,270.70,1.00,4.00,81.00,63.00,923.70,24.20,7.00
12/19/2024,313.50,1.00,6.00,79.00,58.00,923.50,23.70,9.00
1/20/2024,207.60,23.00,3.00,70.50,47.90,923.40,25.70,4.00
2/20/2024,337.00,27.00,2.00,68.40,58.40,924.10,25.20,0.00
3/20/2024,291.00,27.00,2.00,69.80,57.90,923.30,25.80,4.00
4/20/2024,271.00,20.00,2.00,59.70,81.50,923.50,25.90,0.00
5/20/2024,292.00,17.00,2.00,64.10,81.10,923.10,25.90,0.00
6/20/2024,30.00,15.00,2.00,65.10,79.70,923.30,26.00,0.00
7/20/2024,64.00,9.00,2.00,68.40,76.50,923.10,25.40,0.00
8/20/2024,42.00,8.00,1.00,74.30,55.20,923.00,26.20,0.00
9/20/2024,88.00,9.00,1.00,74.40,63.00,923.10,26.90,0.00
10/20/2024,327.00,20.00,2.00,73.90,50.60,922.60,25.80,2.00
11/20/2024,207.00,23.00,2.00,76.40,33.70,922.90,26.20,9.00
12/20/2024,262.00,29.00,2.00,73.90,44.40,922.00,25.40,14.00
1/21/2024,146.40,27.00,4.00,82.00,58.00,921.70,23.30,0.00
2/21/2024,153.90,20.00,4.00,83.00,47.20,922.40,23.40,0.00
3/21/2024,292.50,24.00,4.00,78.00,39.80,923.30,23.60,0.00
4/21/2024,177.30,18.00,6.00,74.00,53.80,923.10,23.80,0.00
5/21/2024,239.00,16.00,6.00,73.00,61.00,922.40,24.10,0.00
6/21/2024,92.40,21.00,6.00,73.00,68.00,923.70,23.50,3.00
7/21/2024,33.20,8.00,4.00,80.00,77.90,923.70,23.10,0.00
8/21/2024,91.80,8.00,6.00,79.00,56.10,923.60,23.50,0.00
9/21/2024,73.00,13.00,7.00,77.00,64.60,923.00,23.80,3.00
10/21/2024,218.40,21.00,7.00,80.00,63.00,922.90,23.80,2.00
11/21/2024,454.30,26.00,9.00,80.00,51.70,921.90,23.40,4.00
12/21/2024,198.50,28.00,9.00,80.00,50.00,923.00,23.70,3.00
1/22/2024,59.50,20.00,2.30,75.00,3.50,923.00,26.40,0.00
2/22/2024,117.10,21.00,2.20,76.00,3.90,922.00,25.00,0.00
3/22/2024,238.90,25.00,1.90,75.00,2.90,921.80,26.00,0.00
4/22/2024,336.20,28.00,2.20,70.00,4.90,923.00,25.30,2.00
5/22/2024,146.90,25.00,2.30,69.00,6.00,922.50,25.70,2.00
6/22/2024,150.60,20.00,2.20,70.00,6.00,923.00,24.50,0.00
7/22/2024,98.50,23.00,1.80,76.00,4.70,922.40,25.10,0.00
8/22/2024,29.90,26.00,2.30,74.00,5.10,922.70,25.60,0.00
